title	full	organism	type	n	platforms	ftp	id	otr	platform	n.samp	drug	drug_cid
"4246. chip-seq of er, pr, p300 in two er+ breast cancer cell lines treated with estrogen and with and without progestins"	(submitter supplied) exploring effect of progesterone/progestin treatment on er and pr binding.	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	67	Platform: GPL11154 67 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP057/SRP057755/	GSE68355	200068355	GPL11154	67	progesterone	5994
5642. human endometrial fibroblasts derived from mesenchymal progenitors inherit progesterone resistance and acquire an inflammatory phenotype in the endometrial niche in endometriosis	"(submitter supplied) herein, we investigated emsc and esf freshly isolated from endometrium from women with and without endometriosis and compared them to their respective short- and long-term cultures and subsequent decidualization response to progesterone. abstract  human endometrium undergoes cyclic tissue shedding with ensuing regeneration involving stem/progenitor cells, but the role of multipotent resident endometrial mesenchymal stem cells (emsc) as progenitors of the endometrial stromal fibroblast (esf) has not been definitively demonstrated. more..."	Homo sapiens	Expression profiling by array	50	Platform: GPL6244 50 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73622/	GSE73622	200073622	GPL6244	50	progesterone	5994
5859. rna-seq in two er+ breast cancer cell lines with and without progestins	(submitter supplied) exploring effect of progesterone/progestin treatment on gene expression	Homo sapiens	Expression profiling by high throughput sequencing	48	Platform: GPL11154 48 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP057/SRP057758/	GSE68358	200068358	GPL11154	48	progesterone	5994
5860. chip-seq of era and pr in two er+ breast cancer cell lines treated with and without estrogen and with and without progestins	(submitter supplied) exploring effect of estrogen and progesterone/progestin treatment on er and pr binding.	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	48	Platform: GPL11154 48 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP057/SRP057756/	GSE68356	200068356	GPL11154	48	progesterone	5994
6400. estrogen priming of breast cancer zr-75-1 cells results in a unique response to a timecourse of progesterone and medroxyprogesterone acetate exposure	"(submitter supplied) a timecourse assessment of the response of zr-75-1 breast cancer cells to progestogens in cells pretreated with estrogen.  p4 treatment in cells pretreated with e2 results in a unique transcriptional response, including upregulation of erbb growth factor pathways and alteration of the intrinsic subtype of the breast cancer cells."	Homo sapiens	Expression profiling by array	44	Platform: GPL16686 44 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61538/	GSE61538	200061538	GPL16686	44	progesterone	5994
7554. active foxo1 is a key determinant of isoform-specific progesterone receptor transactivation and senescence programming	"(submitter supplied) progesterone promotes differentiation coupled to proliferation and pro-survival in the breast, but inhibits estrogen-driven growth in the reproductive tract and ovaries. herein, it is demonstrated, using progesterone receptor (pr) isoform-specific ovarian cancer model systems, that pr-a and pr-b promote distinct gene expression profiles that differ from pr-driven genes in breast cancer cells. in ovarian cancer models, pr-a primarily regulates genes independently of progestin, while pr-b is the dominant ligand-dependent isoform. more..."	Homo sapiens	Expression profiling by array	36	Platform: GPL10558 36 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69296/	GSE69296	200069296	GPL10558	36	progesterone	5994
7563. combinatorial effects of estrogen with progestogens or androgen in the breast cancer cell line zr-75-1	"(submitter supplied) cells were cotreated with dihydrotestosterone, progesterone or medroxyprogesterone acetate and estrdiol to assess the combinatorial effects of hormone exposure in breast cancer cells"	Homo sapiens	Expression profiling by array	36	Platform: GPL6884 36 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61368/	GSE61368	200061368	GPL6884	36	progesterone	5994
7979. chip-seq of er and pr in xenografted mcf7 tumors grown in mice [xenograft]	(submitter supplied) exploring effect of estrogen and/or progesterone treatment on xenografts tumors in vivo	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	34	Platform: GPL11154 34 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP057/SRP057757/	GSE68357	200068357	GPL11154	34	progesterone	5994
10320. cotreatment effects of estrogen with progestogens or dihydrotestosterone in the breast cancer cell line t-74d	"(submitter supplied) cells were cotreated with estrogen and dihydrotestosterone, progesterone or medroxyprogesterone acetate to assess the combinatorial effects of progestogens or androgens with estrogen in t47d breast cancer cells"	Homo sapiens	Expression profiling by array	24	Platform: GPL6171 24 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62243/	GSE62243	200062243	GPL6171	24	progesterone	5994
12914. active foxo1 is a key determinant of isoform-specific progesterone receptor transactivation and senescence programming	"(submitter supplied) the progesterone receptor specific gene targets were investigated in ovarian and breast cancer cell lines where foxo1 was found to be a primary factor that cooperates with pr to activate cellular senescence genes (including p21) specifically in ovarian cells.   abstract: progesterone promotes differentiation coupled to proliferation and pro-survival in the breast, but inhibits estrogen-driven growth in the reproductive tract and ovaries. more..."	Homo sapiens	Expression profiling by array	18	Platform: GPL10558 18 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69294/	GSE69294	200069294	GPL10558	18	progesterone	5994
12923. effect of parp inhibition on progesterone gene expression profiling	(submitter supplied) t47d cells were starved 0% fcs for 24 hours. following starvation parp1 was inhibited via the use of 3ab and the gene expression in response to progesterone studied. cells were stimiulated with r5020 for 1 or 6 hours.	Homo sapiens	Expression profiling by array	18	Platform: GPL4133 18 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64161/	GSE64161	200064161	GPL4133	18	progesterone	5994
13307. effect of medroxyprogesterone acetate on transcript profile of human pregnant myometrium	"(submitter supplied) context: progesterone is important physiologically and therapeutically to maintain uterine quiescence during pregnancy. it acts in part through controlling myometrial gene expression.  objective: to use expression microarray and qrt-pcr validation to determine the changes in gene expression induced by prolonged exposure to a synthetic progestogen.  design: myometrial explants, obtained at elective caesarean section (n=9 patients), were maintained in culture, under 0.6g tension, for 3 days in the presence or absence of medroxyprogesterone acetate (mpa, 100nm). more..."	Homo sapiens	Expression profiling by array	18	Platform: GPL6883 18 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22961/	GSE22961	200022961	GPL6883	18	progesterone	5994
20105. genome-wide mapping of ligand-dependent progesterone receptor chromatin interactions in human breast cell lines using pr chip-seq	"(submitter supplied) the effects of progesterone are pleiotropic, resulting in diverse outcomes in a range of target tissues. progesterone signalling is mediated through the nuclear progesterone receptor (pr) and to identify whether the cell specificity of the pr transcriptome arises from distinct patterns of genomic interaction of pr, we have mapped the genomic binding sites for pr in breast cancer cells and minimally transformed breast cells. more..."	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	9	Platform: GPL10999 9 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP007/SRP007830/	GSE31129	200031129	GPL10999	9	progesterone	5994
20265. bone marrow-derived msc as endometrial stromal progenitor cells	"(submitter supplied) in the current study, we hypothesized that if bone-marrow derived msc contribute to endometrial regeneration and are progenitors to hesf, their treatment with agents known to regulate hesf differentiation could promote their differentiation down the stromal fibroblast lineage. to this end, we treated bone marrow-derived msc with estradiol (e2) and progesterone (p4), bmp2, and activators of the pka pathway and investigated specific markers of hesf differentiation (decidualization). more..."	Homo sapiens	Expression profiling by array	9	Platform: GPL6244 9 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20631/	GSE20631	200020631	GPL6244	9	progesterone	5994
22009. t47d_mtvl treatment with jak/stat inhibitor ag490 with/without r5020	"(submitter supplied) gene expression of the breast cancer cell line t47d-mtvl induced by progestin r5020, in the absense or presence of the jak/stat signaling pathway inhibitor ag490.   keywords: gene expression - t47d-mtvl- hormonal treatment+inhibitors comparison"	Homo sapiens	Expression profiling by array	8	Platform: GPL5953 8 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9286/	GSE9286	200009286	GPL5953	8	progesterone	5994
