	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	description	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM895987	H295R Cell Line, Control DMSO Treatment, Replicate 1	GSM895987	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	H295R - DMSO	Homo sapiens	cell line: H295R	treatment: DMSO	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	H295R Cell Line, Control DMSO Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895987/GSM895987_B356_H_Gene_1.0_ST_1_DMSO1_2.CEL.gz	33297
GSM895988	H295R Cell Line, Control DMSO Treatment, Replicate 2	GSM895988	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	H295R - DMSO	Homo sapiens	cell line: H295R	treatment: DMSO	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	H295R Cell Line, Control DMSO Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895988/GSM895988_B357_H_Gene_1.0_ST_2_DMSO2_2.CEL.gz	33297
GSM895989	H295R Cell Line, Control DMSO Treatment, Replicate 3	GSM895989	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	H295R - DMSO	Homo sapiens	cell line: H295R	treatment: DMSO	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	H295R Cell Line, Control DMSO Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895989/GSM895989_B358_H_Gene_1.0_ST_3_DMSO3_2.CEL.gz	33297
GSM895990	H295R Cell Line, LBH Treatment, Replicate 1	GSM895990	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	H295R - LBH	Homo sapiens	cell line: H295R	treatment: LBH589	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	H295R Cell Line, LBH Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895990/GSM895990_B359_H_Gene_1.0_ST_4_LBH1_2.CEL.gz	33297
GSM895991	H295R Cell Line, LBH Treatment, Replicate 2	GSM895991	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	H295R - LBH	Homo sapiens	cell line: H295R	treatment: LBH589	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	H295R Cell Line, LBH Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895991/GSM895991_B360_H_Gene_1.0_ST_5_LBH2_2.CEL.gz	33297
GSM895992	H295R Cell Line, LBH Treatment, Replicate 3	GSM895992	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	H295R - LBH	Homo sapiens	cell line: H295R	treatment: LBH589	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	H295R Cell Line, LBH Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895992/GSM895992_B361_H_Gene_1.0_ST_6_LBH3_2.CEL.gz	33297
GSM895993	HeLa Cell Line, Control DMSO Treatment, Replicate 1	GSM895993	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	HeLa - DMSO	Homo sapiens	cell line: HeLa	treatment: DMSO	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	HeLa Cell Line, Control DMSO Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895993/GSM895993_B552_H_Gene_1.0_ST_DMSO1_.CEL.gz	33297
GSM895994	HeLa Cell Line, Control DMSO Treatment, Replicate 2	GSM895994	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	HeLa - DMSO	Homo sapiens	cell line: HeLa	treatment: DMSO	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	HeLa Cell Line, Control DMSO Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895994/GSM895994_B553_H_Gene_1.0_ST_DMSO2_.CEL.gz	33297
GSM895995	HeLa Cell Line, Control DMSO Treatment, Replicate 3	GSM895995	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	HeLa - DMSO	Homo sapiens	cell line: HeLa	treatment: DMSO	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	HeLa Cell Line, Control DMSO Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895995/GSM895995_B554_H_Gene_1.0_ST_DMSO3_.CEL.gz	33297
GSM895996	HeLa Cell Line, LBH Treatment, Replicate 1	GSM895996	Public on Mar 02 2015	Mar 14 2012	Mar 02 2015	RNA	1	HeLa - LBH	Homo sapiens	cell line: HeLa	treatment: LBH589	RNA was harvested from cell lines growing in above-mentioned growth protocol conditions	Cells were grown in continuous culture with LBH, depending on the type of cell line indicated above	total RNA	TRIzol reagent (Invitrogen, Carlsbad, CA) was used for RNA isolation from cell lines, according to manufacturer’s protocol	Biotin	WT Target Labeling Assay was performed using 100ng of total RNA accorind to Affymetrix's 100 ng Total RNA Labeling Protocol.	9606	The chips were hybridized by Affymetrix Hybridization Oven 640 and washed by Affymetrix Fluidics Station 450 according to manufacturer's protocols.	The chips were scanned by Affymetrix scanner 3000 7G using manufacturer's default settings.	HeLa Cell Line, LBH Treatment	Gene expression data, continuous culture as indicated in 'characteristics'	Raw Affymetrix intensity measurements of all probe sets were background-corrected, normalized, and summarized into gene level expression measurements using RMA method implemented in Partek Genomic Suite V6.5	GPL6244	Shiuan,,Chen	schen@coh.org	626-359-8111 x63454	Surgical Research	City of Hope	1500 E Duarte Rd	Duarte	CA	91010	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM895nnn/GSM895996/GSM895996_B555_H_Gene_1.0_ST_LBH1_.CEL.gz	33297
