	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	relation
GSM1507802	ZR751_EpVC_0hr_rep1	GSM1507802	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 1:1000 EtOH for 0hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 1:1000 EtOH for 0hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851198	bioproject id: 252531	time: 0hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507802/GSM1507802_EpVC00n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851198
GSM1507803	ZR751_EpVC_0hr_rep2	GSM1507803	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 1:1000 EtOH for 0hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 1:1000 EtOH for 0hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851199	bioproject id: 252531	time: 0hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507803/GSM1507803_EpVC00n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851199
GSM1507804	ZR751_EpVC_0hr_rep3	GSM1507804	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 1:1000 EtOH for 0hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 1:1000 EtOH for 0hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851200	bioproject id: 252531	time: 0hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507804/GSM1507804_EpVC00n3.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851200
GSM1507805	ZR751_EpE_16hr_rep1	GSM1507805	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen for 16hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851201	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507805/GSM1507805_EpE16n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851201
GSM1507806	ZR751_EpE_16hr_rep2	GSM1507806	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen for 16hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851202	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507806/GSM1507806_EpE16n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851202
GSM1507807	ZR751_EpE_16hr_rep3	GSM1507807	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen for 16hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851203	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507807/GSM1507807_EpE16n3.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851203
GSM1507808	ZR751_EpEM_16hr_rep1	GSM1507808	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM medroxyprogesterone acetate for 16hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM medroxyprogesterone acetate for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851204	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507808/GSM1507808_EpEM16n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851204
GSM1507809	ZR751_EpEM_16hr_rep2	GSM1507809	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM medroxyprogesterone acetate for 16hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM medroxyprogesterone acetate for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851205	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507809/GSM1507809_EpEM16n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851205
GSM1507810	ZR751_EpEM_16hr_rep3	GSM1507810	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM medroxyprogesterone acetate for 16hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM medroxyprogesterone acetate for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851206	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507810/GSM1507810_EpEM16n4.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851206
GSM1507811	ZR751_EpEP_16hr_rep1	GSM1507811	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851207	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507811/GSM1507811_EpEP16n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851207
