	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	description	description	data_processing	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM1679076	vehicle control - replicate 1	GSM1679076	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with vehicle control -1	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: vehicle control	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	Control_1(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with vehicle control -replicate 1	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679076/GSM1679076_Control_1_HuGene-2_0-st_.CEL.gz	53617
GSM1679077	1 microM JQ1 -replicate 1	GSM1679077	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with JQ1 -1	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 1 microM JQ1	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	JQ1_1(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with JQ1 - replicate 1	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679077/GSM1679077_JQ1_1_HuGene-2_0-st_.CEL.gz	53617
GSM1679078	10 nM panobinostat - replicate 1	GSM1679078	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with panobinostat -1	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 10 nM panobinostat	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	panobinostat_1(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with panobinostat - replicate 1	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679078/GSM1679078_panobinostat_1_HuGene-2_0-st_.CEL.gz	53617
GSM1679079	JQ1 + panobinostat - replicate 1	GSM1679079	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with JQ1 + panobinostat -1	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 1 microM JQ1 + 10 nM panobinostat	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	JQ1 + panobinostat-1_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with JQ1 + panobinostat - replicate 1	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679079/GSM1679079_JQ1_+_panobinostat-1_HuGene-2_0-st_.CEL.gz	53617
GSM1679080	vehicle control - replicate 2	GSM1679080	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with vehicle control -2	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: vehicle control	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	Control-2_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with vehicle control -replicate 2	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679080/GSM1679080_Control-2_HuGene-2_0-st_.CEL.gz	53617
GSM1679081	1 microM JQ1 -replicate 2	GSM1679081	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with JQ1 -2	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 1 microM JQ1	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	JQ1-2_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with JQ1 - replicate 2	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679081/GSM1679081_JQ1-2_HuGene-2_0-st_.CEL.gz	53617
GSM1679082	10 nM panobinostat - replicate 2	GSM1679082	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with panobinostat -2	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 10 nM panobinostat	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	panobinostat-2_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with panobinostat - replicate 2	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679082/GSM1679082_panobinostat-2_HuGene-2_0-st_.CEL.gz	53617
GSM1679083	JQ1 + panobinostat - replicate 2	GSM1679083	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with JQ1 + panobinostat -2	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 1 microM JQ1 + 10 nM panobinostat	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	JQ1 + panobinostat-2_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with JQ1 + panobinostat - replicate 2	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679083/GSM1679083_JQ1_+_panobinostat-2_HuGene-2_0-st_.CEL.gz	53617
GSM1679084	vehicle control - replicate 3	GSM1679084	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with vehicle control - 3	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: vehicle control	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	Control-3_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with vehicle control -replicate 3	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679084/GSM1679084_Control-3_HuGene-2_0-st_.CEL.gz	53617
GSM1679085	1 microM JQ1 -replicate 3	GSM1679085	Public on Dec 31 2015	May 08 2015	Dec 31 2015	RNA	1	neuroblastoma SK-N-BE(2) cells treated with JQ1 -3	Homo sapiens	cell line: SK-N-BE(2) MYCN-amplified neuroblastoma cell line	treatment: 1 microM JQ1	SK-N-BE(2) cells were treated with vehicle control, 1 microM JQ1, 10nM panobinostat, or combination of JQ1 and panobinostat for 6 hours.	SK-N-BE(2) neuroblastoma cells were cultured in Dulbecco’s modified Eagle’s medium supplemented with 10% fetal calf serum.	total RNA	RNeasy extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	Following fragmentation, cRNA were hybridized for 16 hr at 45C on Affymetrix Human HuGene-2_0-st Array. GeneChips were washed and stained.	GeneChips were scanned using the Affymetrix GeneArray scanner.	JQ1-3_(HuGene-2_0-st)	peripheral nervous system tumor cell	Gene expression data from neuroblastoma cells treated with JQ1 - replicate 3	Images were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method.	Results were further analyzed in R (http://www.r-project.org/) with bioconductor 'affy' package (http://www.bioconductor.org/).	GPL16686	Tao,,Liu	tliu@ccia.unsw.edu.au	Children's Cancer Institute Australia	Lowy Cancer Research Centre	Randwick	NSW	2031	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1679nnn/GSM1679085/GSM1679085_JQ1-3_HuGene-2_0-st_.CEL.gz	53617
