	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM1827618	UKN1_11_biom_A_EtOH(MeHg solvent)_D11_21	GSM1827618	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_ethanol (MeHg solvent) as a vehicle_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: ethanol (MeHg solvent) as a vehicle for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827618/GSM1827618_UKN1_11_biom_A_EtOH_MeHg_solvent_D11_21.CEL.gz	54675
GSM1827619	UKN1_12_biom_A_EtOH(MeHg solvent)_D11_22	GSM1827619	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_ethanol (MeHg solvent) as a vehicle_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: ethanol (MeHg solvent) as a vehicle for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827619/GSM1827619_UKN1_12_biom_A_EtOH_MeHg_solvent_D11_22.CEL.gz	54675
GSM1827620	UKN1_13_biom_A_EtOH(MeHg solvent)_D11_23	GSM1827620	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_ethanol (MeHg solvent) as a vehicle_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: ethanol (MeHg solvent) as a vehicle for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827620/GSM1827620_UKN1_13_biom_A_EtOH_MeHg_solvent_D11_23.CEL.gz	54675
GSM1827621	UKN1_14_biom_A_EtOH(MeHg solvent)_D11_24	GSM1827621	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_ethanol (MeHg solvent) as a vehicle_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: ethanol (MeHg solvent) as a vehicle for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827621/GSM1827621_UKN1_14_biom_A_EtOH_MeHg_solvent_D11_24.CEL.gz	54675
GSM1827622	UKN1_15_biom_A_EtOH(MeHg solvent)_D11_25	GSM1827622	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_ethanol (MeHg solvent) as a vehicle_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: ethanol (MeHg solvent) as a vehicle for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827622/GSM1827622_UKN1_15_biom_A_EtOH_MeHg_solvent_D11_25.CEL.gz	54675
GSM1827623	UKN1_1_biom_A_MeHg_D11_21	GSM1827623	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_MeHg_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: MeHg  for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827623/GSM1827623_UKN1_1_biom_A_MeHg_D11_21.CEL.gz	54675
GSM1827624	UKN1_2_biom_A_MeHg_D11_22	GSM1827624	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_MeHg_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: MeHg  for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827624/GSM1827624_UKN1_2_biom_A_MeHg_D11_22.CEL.gz	54675
GSM1827625	UKN1_3_biom_A_MeHg_D11_23	GSM1827625	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_MeHg_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: MeHg  for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827625/GSM1827625_UKN1_3_biom_A_MeHg_D11_23.CEL.gz	54675
GSM1827626	UKN1_4_biom_A_MeHg_D11_24	GSM1827626	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_MeHg_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: MeHg  for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827626/GSM1827626_UKN1_4_biom_A_MeHg_D11_24.CEL.gz	54675
GSM1827627	UKN1_5_biom_A_MeHg_D11_25	GSM1827627	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_MeHg_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: MeHg  for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827627/GSM1827627_UKN1_5_biom_A_MeHg_D11_25.CEL.gz	54675
