	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM2033123	G401c1	GSM2033123	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	G401 Human malignant rhabdoid tumor cell line treated for 21 days with DMSO vehicle	Homo sapiens	cell line: G401 malignant rhabdoid tumor cell line	cell origin: Renal tumor	treatment: control	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 1	replicate 1	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033124	G401c2	GSM2033124	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	G401 Human malignant rhabdoid tumor cell line treated for 21 days with DMSO vehicle	Homo sapiens	cell line: G401 malignant rhabdoid tumor cell line	cell origin: Renal tumor	treatment: control	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 2	replicate 2	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033125	G401c3	GSM2033125	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	G401 Human malignant rhabdoid tumor cell line treated for 21 days with DMSO vehicle	Homo sapiens	cell line: G401 malignant rhabdoid tumor cell line	cell origin: Renal tumor	treatment: control	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 3	replicate 3	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033126	G401t1	GSM2033126	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	G401 Human malignant rhabdoid tumor cell line treated for 21 days with low-dose Panobinostat	Homo sapiens	cell line: G401 malignant rhabdoid tumor cell line	cell origin: Renal tumor	treatment: Panobinostat	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 4	replicate 1	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033127	G401t2	GSM2033127	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	G401 Human malignant rhabdoid tumor cell line treated for 21 days with low-dose Panobinostat	Homo sapiens	cell line: G401 malignant rhabdoid tumor cell line	cell origin: Renal tumor	treatment: Panobinostat	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 5	replicate 2	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033128	G401t3	GSM2033128	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	G401 Human malignant rhabdoid tumor cell line treated for 21 days with low-dose Panobinostat	Homo sapiens	cell line: G401 malignant rhabdoid tumor cell line	cell origin: Renal tumor	treatment: Panobinostat	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 6	replicate 3	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033129	STM91-01 DMSO1	GSM2033129	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	STM91-01 Human malignant rhabdoid tumor cell line treated for 21 days with DMSO vehicle	Homo sapiens	cell line: STM91-01 malignant rhabdoid tumor cell line	cell origin: Lung metastasis	treatment: control	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 7	replicate 1	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033130	STM91-01 DMSO2	GSM2033130	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	STM91-01 Human malignant rhabdoid tumor cell line treated for 21 days with DMSO vehicle	Homo sapiens	cell line: STM91-01 malignant rhabdoid tumor cell line	cell origin: Lung metastasis	treatment: control	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 8	replicate 2	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033131	STM91-01 DMSO3	GSM2033131	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	STM91-01 Human malignant rhabdoid tumor cell line treated for 21 days with DMSO vehicle	Homo sapiens	cell line: STM91-01 malignant rhabdoid tumor cell line	cell origin: Lung metastasis	treatment: control	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 9	replicate 3	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
GSM2033132	STM91-01 LBH1	GSM2033132	Public on Mar 01 2016	Jan 08 2016	Mar 01 2016	RNA	1	STM91-01 Human malignant rhabdoid tumor cell line treated for 21 days with low-dose Panobinostat	Homo sapiens	cell line: STM91-01 malignant rhabdoid tumor cell line	cell origin: Lung metastasis	treatment: Panobinostat	total RNA	RNA and DNase I treatment was performed using the QIAGEN Rneasy Mini Kit,, in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer.	biotin	A total of 500ng of total RNA was prepared for hybridization to the Ilumina humanHT 12 Expression Beadchip by preparing a probe cocktail (cRNA @ 0.05ug/ul) that includes GEX-HYB Hybridization Buffer (supplied with the beadchip).	9606	A total hybridization volume of 15ul was prepared for each sample and 15ul loaded into a single array on the Ilumina humanHT 12 Expression Beadchip. A total of 12 different labelled samples can be loaded into 12 individual arrays per beadchip.  The chip was then hybridized at 58C for 16 hours in an oven with a rocking platform.  After hybridization, the chip was washed using the appropriate protocols as outlined in the Illumina manual.  Upon completion of the washing, the chips were then coupled with Cy3 and scanned in the Illumina iScan Reader.	Standard Illumina scanning protocol in the Illumina iScan Reader	SAMPLE 10	replicate 1	GenomeStudio V2011.1 - Gene Expression Module 1.9.0	GPL10558	Jason,,Cain	jason.cain@monash.edu	Hudson Institute of Medical Research	27-31 Wright St	Clayton	3168	Australia	NONE	47317
