	id	platform	name	title	main	design	project	type	species	ref	nsamp
5058	gse12525	_div id__l1583123423divhidden_ name__l1583123423divhidden_ style__display_ block___a href__javascript_handlevisibilitychangel1583123423_____img alt__more..._ border__0_ src___geo_img_plus_small.gif___nbsp_more...__a___div_	gse12525	5-methylcytosine chip-on-chip _medip_ of sporadic amyotrophic lateral sclerosis and control human brains	this experiment series sought to detect genome-wide methylation in sporadic amyotrophic lateral sclerosis brains and compare it to normal control brains. methylation across the whole genome was measured in brain dna of 10 sals patients and 10 neurologically-normal controls. methylated dna was immunoprecipitated and interrogated by affymetrix genechip human tiling 2.0r array sets. methylation calls were compared between sals patients and controls at each methylated site._br__br_keywords_ chip-chip	10 sporadic amyotrophic lateral sclerosis brain _lateral frontal cortex, brodmann area 46_ and 10 normal control brain _lateral frontal cortex, brodmann area 46_. 1 replicate sample repeated at different time _19a_.		methylation profiling by genome tiling array	homo sapiens	19922134	148
9317	gse16969	gpl570	gse16969	gene expression analysis of tsc-tubers reveals increased expression of adhesion and inflammatory factors	cortical tubers in patients with tuberous sclerosis complex _tsc_ are associated with cognitive disability and intractable epilepsy. while these developmental malformations are believed to result from the effects of tsc1 or tsc2 gene mutations, the molecular mechanisms leading to tuber formation during brain development as well as the onset of seizures remain largely unknown. we used the affymetrix gene chip platform as a genome-wide strategy to define the gene expression profile of cortical tubers resected during epilepsy surgery compared to histologically normal perituberal tissue _adjacent to the cortical tuber_ from the same patients or autopsy control tissue.	gene expression profiles of cortical tubers were compared with autopsy control specimens and perituberal tissue from the same patients.		expression profiling by array	homo sapiens	19912235	10
10210	gse17846	gpl9040	gse17846	mirna profiling from total blood of multiple sclerosis and control samples	this project aims at the detection of specific patterns of mirnas in peripheral blood samples of ms patients. as controls, blood of donors without known affection have been tested. using the mirna patterns we hope to detect a diagnostic pattern for the non-invasive diagnosis of ms.	in this study, we compared 20 multiple sclerosis samples to 21 control samples using the sanger mirbase 12.0 mirna biochip manufactured by febit. samples were analyzed with the geniom realtime analyzer _grta, febit gmbh, heidelberg, germany_ using the geniom biochip mirna homo sapiens. each array contains 7 replicates of 866 mirnas and mirna star sequences as annotated in the sanger mirbase 12.0. to benchmark the platform, we tested technical replicates using bought total rna of brain and liver samples _ambion_, achieving a correlation of 0.97.		non-coding rna profiling by array	homo sapiens	19823682	41
19671	gse26927	gpl6255	gse26927	common neuroinflammatory pathways in neurodegenerative diseases.	neurodegenerative diseases of the central nervous system are characterised by pathogenetic cellular and molecular changes in specific areas of the brain that lead to the dysfunction and_or loss of explicit neuronal populations. despite exhibiting different clinical profiles and selective neuronal loss, common features such as abnormal protein deposition, dysfunctional cellular transport, mitochondrial deficits, glutamate excitotoxicity and inflammation are observed in most, if not all, neurodegenerative disorders, suggesting converging pathways of neurodegeneration. we have generated comparative genome-wide gene expression data for alzheimer_s disease, amyotrophic lateral sclerosis, huntington_s disease, multiple sclerosis, parkinson_s disease and schizophrenia using an extensive cohort of well characterised post-mortem cns tissues. the analysis of whole genome expression patterns across these major disorders offers an outstanding opportunity not only to look into exclusive disease specific changes, but more importantly to uncover potential common molecular pathogenic mechanisms that could be targeted for therapeutic gain. surprisingly, no dysregulated gene that passed our selection criteria was found in common across all 6 diseases using our primary method of analysis. however, 61 dysregulated genes were shared when comparing five and four diseases. our analysis indicates firstly the involvement of common neuronal homeostatic, survival and synaptic plasticity pathways. secondly, we report changes to immunoregulatory and immunomodulatory pathways in all diseases. our secondary method of analysis confirmed significant up-regulation of a number of genes in diseases presenting degeneration and showed that somatostatin was downregulated in all 6 diseases. the latter is supportive of a general role for neuroinflammation in the pathogenesis and_or response to neurodegeneration. unravelling the detailed nature of the molecular changes regulating inflammation in the cns is key to the development of novel therapeutic approaches for these chronic conditions.	a total of 113 cases were selected retrospectively on the basis of a confirmed clinical and neuropathological diagnosis and snap-frozen brain blocks were provided by various tissue banks within the brainnet europe network. total rna was extracted from dissected snap-frozen tissue __lt_ 100 mg_ by the individual laboratories according to a bne optimised common protocol using the rneasy_r_ tissue lipid mini kit _qiagen ltd, crawley, uk_ according to the manufacturer_s instructions, and was stored at -80c until further use. gene expression analysis was performed on the rna samples using the illumina whole genome humanref8 v2 beadchip _illumina, london, uk_. all the labelling and hybridisation of the samples was carried out in a single experiment by the imperial college group to reduce the technical variability. rna samples were prepared for array analysis using the illumina totalprep_tm_-96 rna amplification kit _ambion_applied biosystems, warrington, uk_. finally, the beadchips we  re scanned using the illumina beadarray reader. the data was extracted using beadstudio 3.2 _illumina_. data normalisation and gene differential expression analyses were conducted using the rosetta error models available in the rosetta resolver_r_ system _rosetta biosoftware, seattle, wa, usa_. two samples presented very low signal expression most likely due to hybridization problems and did not pass the quality control test. they are not represented here. one of the 2 samples was a replicate, therefore there was loss of only 1 case bringing the grand total of cases used to 112 _total of samples of 118 including 6 replicates_.		expression profiling by array	homo sapiens	22864814,25119539	118
21014	gse28253	gpl4133	gse28253	peripheral blood lymphocytes_ als patients vs. healthy controls	transcripional profiling of lymphocytes from patients with amyotrophic lateral sclerosis _als_ _n_11_ and healthy control subjects _n_11_._br_the goal was to determine disease response expression signatures relevant of als pathogenesis that affect brain and spinal cord._br_the reference design was used_ each cy5-labeled crna sample from als patient or healthy control subject was cohybridized on agilent-014850 whole human genome microarray 4x44k g4112f with the reference pool formed with equal amounts of cy3-labeled crnas from each sample from the healthy control group.	eleven lymphocyte samples from definite sporadic als patients and eleven samples from healthy control subjects were used.		expression profiling by array	homo sapiens	22027401	22
21420	gse28642	gpl6244	gse28642	non-phosphorylated fty720 induces apoptosis of human microglia by activating srebp2	a synthetic analog of sphingosine named fty720 _fingolimod_, phosphorylated by sphingosine kinase-2, interacts with sphingosine-1-phosphate _s1p_ receptors expressed on various cells. fty720 suppresses the disease activity of multiple sclerosis _ms_ chiefly by inhibiting s1p-dependent egress of autoreactive t lymphocytes from secondary lymphoid organs, and possibly by exerting anti-inflammmatory and neuroprotective effects directly on brain cells. however, at present, biological effects of fty720 on human microglia are largely unknown. we studied fty720-mediated apoptosis of a human microglia cell line hmo6. the exposure of hmo6 cells to non-phosphorylated fty720 _fty720-non-p_ induced apoptosis in a dose-dependent manner with ic50 of 10.6_2.0 microm, accompanied by the cleavage of caspase-7 and caspase-3 but not of caspase-9. the apoptosis was inhibited by z-dqmd-fmk, a caspase-3 inhibitor, but not by pertussis toxin, a gi protein inhibitor, suramin, a s1p3_s1p5 inhibitor, or w123, a s1p1 competitive antagonist, although hmo6 expressed s1p1, s1p2, and s1p3. furthermore, both phosphorylated fty720 _fty720-p_ and sew2871, a s1p1 selective agonist did not induce apoptosis of hmo6. genome-wide gene expression profiling and molecular network analysis indicated activation of transcriptional regulation by sterol regulatory element-binding protein _srebp_ in fty720-non-p-treated hmo6 cells. western blot verified activation of srebp2 in these cells, and apoptosis was enhanced by pretreatment with simvastatin, an activator of srebp2, and by overexpression of the n-terminal fragment of srebp2. these observations suggest that fty720-non-p-induced apoptosis of hmo6 human microglia is independent of s1p receptor binding, and positively regulated by the srebp2-dependent proapoptotic signaling pathway.	the hmo6 cell line was established by immortalizing cultured microglia isolated from human embryonic telencephalon tissues with a retroviral vector pask1.2 encoding v-myc oncogene _nagai et al. neurobiol. dis. 8_ 1057-1068, 2001_. hmo6 cells express the markers of the microglia_macrophage lineage cells, including cd11b, cd68, cd86, hla-abc, hla-dr, and ricinus communis agglutinin lectin-1 _rca_, serving as a model of human microglia both in vitro and in vivo. the cells were exposed for 2 hours to 10 microm fty720-non-p dissolved in dimethyl sulfoxide _dmso_ or ethanol or exposed to the vehicle.		expression profiling by array	homo sapiens	21519925	4
22758	gse29932	gpl11095	gse29932	to identify specific glycosylated structures on brain endothelial cells that mediate rolling, adhesion, and diapedesis of leukocytes in the brain	the blood-brain barrier _bbb_ dynamically controls and maintains a precisely balanced brain microenvironment necessary for reliable functioning. it is made up of highly specialized endothelial cells _ecs_ in the lining of the vascular wall. these ecs are surrounded by the basal lamina, astrocytic perivascular endfeet, pericytes, microglia and neuronal processes that have been shown to contribute to barrier function1. in essence, the brain endothelium limits both transcellular and paracellular passage of cells and molecules into the central nervous system _cns_. transcellular passage of hydrophilic molecules is limited due to a low rate of transcytotic vesicles, an extremely low pinocytotic activity, expression of active efflux transporters, and high metabolic activity. paracellular diffusion of hydrophilic molecules and trafficking of immune cells is restricted by a network of tight junctions _tjs_2-5. due to these characteristics, the bbb is able to protect the cns from sudden changes in blood composition and uncontrolled influx of immune cells. in a large number of neuro-inflammatory diseases, an impaired function and an opening of the bbb are observed. in diseases of the cns like multiple sclerosis or stroke or after brain trauma, the bbb becomes inflamed _mediated by for example reactive oxygen species _ros_ and hypoxia_ and its function severely impaired which gives rise to enhanced cellular infiltration, thus contributing to tissue damage and neurological deficits.   due to the specialized nature of brain ecs, transmigration of leukocytes through cerebrovascular endothelium is likely to differ from that in other vascular beds. generally, the transmigration process is closely controlled by the interaction of leukocytes with the endothelial surface followed by low velocity rolling, arrest, firm adhesion, and finally transmigration. for the diapedesis of immune cells across the cerebral vasculature a re-arrangement of the cytoskeleton and opening of the tj complexes is required to allow cells to pass into the sub endothelial space. in the initial step of the adhesive cascade leukocytes adhere to the endothelium with low affinity. this adhesion is mediated by several members of the selectin family and their corresponding ligands. despite the low affinity of these interactions, resulting contact of leukocytes with the endothelium leads to further activation of both cell types and finally transmigration of the leukocytes through the bbb6,7.	the glycosylation of endothelial cells of different vascular bed origins_br_to date it is unknown which specific carbohydrate structures on the bbb endothelium mediate leukocyte capture and rolling, and whether these structures are differentially expressed onto inflamed brain ec compared to normal brain ecs and vascular beds of other organs. initial studies using qpcr and facs analysis within our group reveal that brain endothelial cells have a different profile in their glycosylation-related genes compared to microvascular ecs upon inflammation, which may result in a different glycosylation profile of adhesive structures and may underlie rolling, adhesion and diapedesis of leukocytes. in this project we wish to identify specific, glycosylated structures on brain endothelial cells that mediate capture, rolling and diapedesis of leukocytes in the brain. to investigate the expression of glycosyltransferases in dendritic cells and the changes in expression associated with maturation. rna preparations from stimulated and non-stimulated hcmec_d3 _human brain endothelial cells line_ and fmvec _human promary microvascular endothelial cells isolated from foreskins_ were sent to both microarray core _e_ and core_c_. the rna was put on an rneasy column, amplified, labeled, and hybridized to the glycov3 microarrays. data was sent to dr. van kooyk_s lab for analysis.		expression profiling by array	homo sapiens	unpublished	10
30887	gse37664	gpl15505	gse37664	human cerebrospinal fluid autoantibody lipid microarray profiling _fig. 1a_	lipids comprise 70_ of the myelin sheath, and autoantibodies against lipids may contribute to the demyelination that characterizes multiple sclerosis _ms_. we used lipid antigen microarrays and lipid mass spectrometry to identify bona fide lipid targets of the autoimmune response in ms brain and an animal model of ms to explore the role of the identified lipids in autoimmune demyelination. we found that autoantibodies in ms target a phosphate group in phosphatidylserine and oxidized phosphatidylcholine derivatives. administration of these lipids ameliorated experimental autoimmune encephalomyelitis by suppressing activation and inducing apoptosis of autoreactive t cells, effects mediated by the lipids_ saturated fatty-acid side chains.  thus, phospholipids represent a natural anti-inflammatory class of compounds that have potential as novel therapeutics for ms.	fig. 1a. lipid-array profiling of igg_igm antibody reactivity in cerebrospinal fluid _csf_ samples from ms patients _relapsing remitting ms_ secondary progressive ms_ primary progressive ms_, healthy controls, and other neurological disease controls. lipid hits with the lowest fdr _q_0.048_ were clustered according to their reactivity profiles._br__br_48 different lipids were custom-spotted in duplicate using the camag automatic tlc sampler _ats4_ robot to spray 200 nl of 10 to 100 pmol of lipids onto pvdf membranes affixed to the surface of microscope slides. the slides were probed with cerebrospinal fluid _csf_ from 59 human patient samples. 60 slides total_ 18 relapsing-remitting ms, 14 secondary-progressive ms, 1 primary-progressive ms, 21 other neurological disease, 5 healthy control, 1 secondary ab alone _not included in this submission_. csf diluted 1_10. hrp-conjugated secondary ab _goat anti-human igm_igg_ diluted 1_8000. ecl for 3 minutes.		other	homo sapiens	22674551	59
30894	gse37670	gpl15506	gse37670	human cerebrospinal fluid autoantibody lipid microarray profiling _fig. 2a_	lipids comprise 70_ of the myelin sheath, and autoantibodies against lipids may contribute to the demyelination that characterizes multiple sclerosis _ms_. we used lipid antigen microarrays and lipid mass spectrometry to identify bona fide lipid targets of the autoimmune response in ms brain and an animal model of ms to explore the role of the identified lipids in autoimmune demyelination. we found that autoantibodies in ms target a phosphate group in phosphatidylserine and oxidized phosphatidylcholine derivatives. administration of these lipids ameliorated experimental autoimmune encephalomyelitis by suppressing activation and inducing apoptosis of autoreactive t cells, effects mediated by the lipids_ saturated fatty-acid side chains.  thus, phospholipids represent a natural anti-inflammatory class of compounds that have potential as novel therapeutics for ms.	fig. 2a. mini-array i_ igg antibody reactivity to various glycero-3-phosphocholine lipids in csf samples from patients with relapsing remitting ms and from control patients with other neurological disease. lipid hits with the lowest fdr _q_0.029_ were clustered according to their reactivity profiles._br__br_47 different lipids were custom-spotted in duplicate using the camag automatic tlc sampler _ats4_ robot to spray 200 nl of 10 to 100 pmol of lipids onto pvdf membranes affixed to the surface of microscope slides. the slides were probed with cerebrospinal fluid _csf_ from 24 human patient samples. 25 slides total_ 13 relapsing-remitting ms, 11 other neurological disease, and 1 secondary ab alone _not included in this submission_. csf diluted 1_20. hrp-conjugated secondary ab _goat anti-human igm_igg_ diluted 1_175. ecl for 3 minutes.		other	homo sapiens	22674551	24
31060	gse37826	gpl15535	gse37826	human cerebrospinal fluid autoantibody lipid microarray profiling _fig. 2c_	lipids comprise 70_ of the myelin sheath, and autoantibodies against lipids may contribute to the demyelination that characterizes multiple sclerosis _ms_. we used lipid antigen microarrays and lipid mass spectrometry to identify bona fide lipid targets of the autoimmune response in ms brain and an animal model of ms to explore the role of the identified lipids in autoimmune demyelination. we found that autoantibodies in ms target a phosphate group in phosphatidylserine and oxidized phosphatidylcholine derivatives. administration of these lipids ameliorated experimental autoimmune encephalomyelitis by suppressing activation and inducing apoptosis of autoreactive t cells, effects mediated by the lipids_ saturated fatty-acid side chains.  thus, phospholipids represent a natural anti-inflammatory class of compounds that have potential as novel therapeutics for ms.	fig. 2c. mini-array ii_ igg antibody reactivity to lipids constituting polar head-group and side-chain modifications of pgpc in csf samples from relapsing remitting ms patients and other neurological disease controls. lipid hits with the lowest fdr _q_0.016_ were clustered according to their reactivity profiles._br__br_19 different lipids were custom-spotted in duplicate using the camag automatic tlc sampler _ats4_ robot to spray 200 nl of 10 to 100 pmol of lipids onto pvdf membranes affixed to the surface of microscope slides. the slides were probed with cerebrospinal fluid _csf_ from 26 human patient samples. 27 slides total_ 12 relapsing-remitting ms, 13 other neurological disease, 1 healthy control _not included in this submission_, and 1 secondary ab alone _not included in this submission_. csf diluted 1_20. hrp-conjugated secondary ab _donkey anti-human igg_ diluted 1_8000. ecl for 3 minutes.		other	homo sapiens	22674551	25
